"bin bottom",azimuth,altitude,"distance (m)",latitude,longitude,"elevation (m amsl)"
24,24.088695,7.329585,9445.943573,37.310278,-118.240278,2424.000000
24.125,24.148894,7.347765,9484.875353,37.310556,-118.240000,2432.000000
24.25,24.285626,7.327914,9494.647693,37.310556,-118.239722,2430.000000
24.375,24.381759,7.293255,9398.671897,37.309722,-118.240000,2412.000000
24.5,24.519474,7.273208,9408.538133,37.309722,-118.239722,2410.000000
24.625,24.660778,7.237700,9178.881768,37.307778,-118.240556,2375.000000
24.75,24.801457,7.204778,9188.606446,37.307778,-118.240278,2371.000000
24.875,24.883096,7.183509,9159.964967,37.307500,-118.240278,2364.000000
25,25.21939,7.135443,5026.147106,37.273889,-118.259444,1839.000000
25.125,25.341351,7.189140,5410.187457,37.276944,-118.257500,1892.000000
25.25,25.474949,7.300970,5038.640115,37.273889,-118.259167,1855.000000
25.375,25.62794,7.420963,5011.955632,37.273611,-118.259167,1862.000000
25.5,25.782652,7.508004,4984.933793,37.273333,-118.259167,1866.000000
25.625,25.883509,7.597306,5024.810954,37.273611,-118.258889,1879.000000
25.75,26.039319,7.673624,4997.737854,37.273333,-118.258889,1882.000000
25.875,26.196881,7.682181,4969.900482,37.273056,-118.258889,1879.000000
26,26.294866,7.792928,5010.134789,37.273333,-118.258611,1894.000000
26.125,26.453513,7.813427,4982.496002,37.273056,-118.258611,1892.000000
26.25,26.549291,7.911487,5022.650807,37.273333,-118.258333,1906.000000
26.375,26.643591,7.951932,5062.136002,37.273611,-118.258056,1915.000000
26.5,26.80259,8.051831,5035.566209,37.273333,-118.258056,1920.000000
26.625,26.894734,8.102199,5075.237093,37.273611,-118.257778,1930.000000
26.75,27.054762,8.135131,5047.894215,37.273333,-118.257778,1929.000000
26.875,27.144764,8.229249,5088.180021,37.273611,-118.257500,1943.000000
27,27.320675,8.281399,5167.077309,37.274167,-118.256944,1959.000000
27.125,27.393679,8.355497,5101.242391,37.273611,-118.257222,1956.000000
27.25,27.565438,8.427362,5180.509778,37.274167,-118.256667,1974.000000
27.375,27.649381,8.505862,5220.756354,37.274444,-118.256389,1987.000000
27.5,27.809112,8.616037,5194.668564,37.274167,-118.256389,1993.000000
27.625,27.891043,8.627901,5234.061690,37.274444,-118.256111,2000.000000
27.75,28.051697,8.749177,5208.208280,37.274167,-118.256111,2007.000000
27.875,28.051697,8.749177,5208.208280,37.274167,-118.256111,2007.000000
28,28.293191,8.848947,5221.402267,37.274167,-118.255833,2018.000000
28.125,28.293191,8.848947,5221.402267,37.274167,-118.255833,2018.000000
28.25,28.456463,8.949654,5195.380094,37.273889,-118.255833,2023.000000
28.375,28.697759,9.070618,5209.073472,37.273889,-118.255556,2036.000000
28.5,28.697759,9.070618,5209.073472,37.273889,-118.255556,2036.000000
28.625,28.937947,9.136637,5222.079697,37.273889,-118.255278,2044.000000
28.75,29.011118,9.144300,5261.616831,37.274167,-118.255000,2051.000000
28.875,29.177025,9.191367,5235.021354,37.273889,-118.255000,2051.000000
29,29.177025,9.191367,5235.021354,37.273889,-118.255000,2051.000000
29.125,29.414993,9.245668,5248.056236,37.273889,-118.254722,2058.000000
29.25,29.414993,9.245668,5248.056236,37.273889,-118.254722,2058.000000
29.375,29.583486,9.293183,5221.573815,37.273611,-118.254722,2058.000000
29.5,29.821176,9.347099,5234.767656,37.273611,-118.254444,2065.000000
29.625,29.821176,9.347099,5234.767656,37.273611,-118.254444,2065.000000
29.75,29.992264,9.395053,5208.400254,37.273333,-118.254444,2065.000000
29.875,29.992264,9.395053,5208.400254,37.273333,-118.254444,2065.000000
30,30.293177,9.432160,5261.100928,37.273611,-118.253889,2077.000000
30.125,30.293177,9.432160,5261.100928,37.273611,-118.253889,2077.000000
30.25,30.527489,9.452708,5274.071000,37.273611,-118.253611,2081.000000
30.375,30.527489,9.452708,5274.071000,37.273611,-118.253611,2081.000000
30.5,30.760674,9.472999,5287.127217,37.273611,-118.253333,2085.000000
30.625,30.760674,9.472999,5287.127217,37.273611,-118.253333,2085.000000
30.75,30.992735,9.503696,5300.434714,37.273611,-118.253056,2090.000000
30.875,31.167753,9.519122,5273.896521,37.273333,-118.253056,2087.000000
31,31.22367,9.544719,5313.994432,37.273611,-118.252778,2096.000000
31.125,31.399429,9.560194,5287.520908,37.273333,-118.252778,2093.000000
31.25,31.453481,9.595982,5327.807831,37.273611,-118.252500,2103.000000
31.375,31.682168,9.625680,5341.372158,37.273611,-118.252222,2108.000000
31.5,31.682168,9.625680,5341.372158,37.273611,-118.252222,2108.000000
31.625,31.859363,9.641245,5315.028259,37.273333,-118.252222,2105.000000
31.75,31.859363,9.641245,5315.028259,37.273333,-118.252222,2105.000000
31.875,32.087624,9.691826,5329.078902,37.273333,-118.251944,2112.000000
32,32.314749,9.741988,5343.215511,37.273333,-118.251667,2119.000000
32.125,32.314749,9.741988,5343.215511,37.273333,-118.251667,2119.000000
32.25,32.540739,9.760120,5356.925745,37.273333,-118.251389,2123.000000
32.375,32.540739,9.760120,5356.925745,37.273333,-118.251389,2123.000000
32.5,32.540739,9.760120,5356.925745,37.273333,-118.251389,2123.000000
32.625,32.947257,9.793669,5344.685213,37.273056,-118.251111,2124.000000
32.75,32.947257,9.793669,5344.685213,37.273056,-118.251111,2124.000000
32.875,33.171618,9.821779,5358.793511,37.273056,-118.250833,2129.000000
33,33.171618,9.821779,5358.793511,37.273056,-118.250833,2129.000000
33.125,33.394835,9.849593,5372.982524,37.273056,-118.250556,2134.000000
33.25,33.394835,9.849593,5372.982524,37.273056,-118.250556,2134.000000
33.375,33.61691,9.877114,5387.251615,37.273056,-118.250278,2139.000000
33.5,33.61691,9.877114,5387.251615,37.273056,-118.250278,2139.000000
33.625,33.837846,9.935685,5402.119259,37.273056,-118.250000,2147.000000
33.75,34.057643,10.004203,5417.244509,37.273056,-118.249722,2156.000000
33.875,34.057643,10.004203,5417.244509,37.273056,-118.249722,2156.000000
34,34.244115,10.072415,5392.473641,37.272778,-118.249722,2158.000000
34.125,34.244115,10.072415,5392.473641,37.272778,-118.249722,2158.000000
34.25,34.463338,10.129973,5407.579860,37.272778,-118.249444,2166.000000
34.375,34.681415,10.187065,5422.767883,37.272778,-118.249167,2174.000000
34.5,34.681415,10.187065,5422.767883,37.272778,-118.249167,2174.000000
34.625,34.898348,10.254059,5438.215717,37.272778,-118.248889,2183.000000
34.75,34.898348,10.254059,5438.215717,37.272778,-118.248889,2183.000000
34.875,35.088248,10.333069,5413.906530,37.272500,-118.248889,2186.000000
35,35.304556,10.440990,5430.237968,37.272500,-118.248611,2199.000000
35.125,35.304556,10.440990,5430.237968,37.272500,-118.248611,2199.000000
35.25,35.519711,10.537775,5446.479342,37.272500,-118.248333,2211.000000
35.375,35.519711,10.537775,5446.479342,37.272500,-118.248333,2211.000000
35.5,35.712428,10.586401,5421.843815,37.272222,-118.248333,2211.000000
35.625,35.926919,10.661917,5437.876617,37.272222,-118.248056,2221.000000
35.75,35.926919,10.661917,5437.876617,37.272222,-118.248056,2221.000000
35.875,36.121934,10.690133,5413.004742,37.271944,-118.248056,2219.000000
36,36.318783,10.708038,5388.008646,37.271667,-118.248056,2216.000000
36.125,36.335731,10.744449,5428.815615,37.271944,-118.247778,2227.000000
36.25,36.53304,10.783246,5404.263579,37.271667,-118.247778,2226.000000
36.375,36.53304,10.783246,5404.263579,37.271667,-118.247778,2226.000000
36.5,36.746114,10.837095,5420.222444,37.271667,-118.247500,2234.000000
36.625,36.945713,10.886535,5395.995806,37.271389,-118.247500,2234.000000
36.75,36.945713,10.886535,5395.995806,37.271389,-118.247500,2234.000000
36.875,37.158036,10.981441,5412.866789,37.271389,-118.247222,2246.000000
37,37.158036,10.981441,5412.866789,37.271389,-118.247222,2246.000000
37.125,37.369172,11.044543,5429.246034,37.271389,-118.246944,2255.000000
37.25,37.571461,11.136010,5406.009961,37.271111,-118.246944,2259.000000
37.375,37.571461,11.136010,5406.009961,37.271111,-118.246944,2259.000000
37.5,37.781807,11.208797,5422.738681,37.271111,-118.246667,2269.000000
37.625,37.781807,11.208797,5422.738681,37.271111,-118.246667,2269.000000
37.75,37.986356,11.259175,5398.875643,37.270833,-118.246667,2269.000000
37.875,38.195883,11.310639,5415.363000,37.270833,-118.246389,2277.000000
38,38.195883,11.310639,5415.363000,37.270833,-118.246389,2277.000000
38.125,38.40421,11.361643,5431.923998,37.270833,-118.246111,2285.000000
38.25,38.40421,11.361643,5431.923998,37.270833,-118.246111,2285.000000
38.375,38.611342,11.453409,5449.353889,37.270833,-118.245833,2297.000000
38.5,38.817283,11.544444,5466.865757,37.270833,-118.245556,2309.000000
38.625,38.817283,11.544444,5466.865757,37.270833,-118.245556,2309.000000
38.75,39.022038,11.604055,5483.852288,37.270833,-118.245278,2318.000000
38.875,39.022038,11.604055,5483.852288,37.270833,-118.245278,2318.000000
39,39.230172,11.675259,5460.836491,37.270556,-118.245278,2320.000000
39.125,39.434049,11.734236,5477.970789,37.270556,-118.245000,2329.000000
39.25,39.434049,11.734236,5477.970789,37.270556,-118.245000,2329.000000
39.375,39.644344,11.785202,5454.698185,37.270278,-118.245000,2329.000000
39.5,39.644344,11.785202,5454.698185,37.270278,-118.245000,2329.000000
39.625,39.856518,11.836445,5431.500941,37.270000,-118.245000,2329.000000
39.75,40.059761,11.894782,5448.853966,37.270000,-118.244722,2338.000000
39.875,40.059761,11.894782,5448.853966,37.270000,-118.244722,2338.000000
40,40.237731,11.934744,5546.597148,37.270556,-118.243889,2362.000000
40.125,40.435723,11.961080,5563.456710,37.270556,-118.243611,2368.000000
40.25,40.435723,11.961080,5563.456710,37.270556,-118.243611,2368.000000
40.375,40.647306,11.971005,5539.709201,37.270278,-118.243611,2364.000000
40.5,40.812328,11.998700,5637.409935,37.270833,-118.242778,2387.000000
